fips,opioid_factor,year
51145,3.687549E7,2007
31125,617500.0,2007
5027,7.347959355E7,2007
2887,2.12203565E8,2007
2441,8.570980389999999E7,2007
163,8112900.0,2007
3733,4.261406905E7,2007
18155,3.8913135E7,2007
48427,1.421333355E7,2007
3679,1.7430992110000002E8,2007
4159,2.4637086235000002E8,2007
3629,2.3613634373999996E9,2007
369,1.8310730195E8,2007
291,4.014793295E7,2007
5157,1.5954182100000001E7,2007
427,4.1374443425E8,2007
48437,1483225.0,2007
38101,1.0016442725E9,2007
47129,7.98141871E7,2007
28105,2.7189125855E8,2007
5491,1.695665E7,2007
373,5.4659767599999994E7,2007
48425,1.2350124200000001E7,2007
412,8.448077599999999E7,2007
27149,9020615.0,2007
2275,1.15686842E7,2007
4577,5.9811476625E8,2007
40121,7.95056792E7,2007
5471,1.033615E7,2007
2693,2.862202446E8,2007
356,3.428058355E7,2007
3839,4.239806E7,2007
37135,4.6769680455E8,2007
2413,4.83618382E8,2007
39167,1.147623242E8,2007
3031,7.864620244999999E7,2007
26159,1.4877475654999995E8,2007
30111,5.8678288705E8,2007
21195,3.4744408875000006E8,2007
653,1.2077392944999998E9,2007
4057,2692350.0,2007
48451,1.8171202389999998E8,2007
21151,1.9720012564999998E8,2007
5349,1.693681855E8,2007
5525,5.335255644000001E8,2007
48175,5328250.0,2007
1319,3.936764855E7,2007
4759,2.7823993275E8,2007
27131,4.8130127099999994E7,2007
4667,1.0601975E7,2007
29113,6.555483E7,2007
37125,7.297442156999998E8,2007
4729,1.6392594695E8,2007
48475,5397808.55,2007
18145,6.900116275E7,2007
8125,5571536.8,2007
17175,1705750.0,2007
413,1.5982217864300005E10,2007
31123,8226950.0,2007
837,5.997526165E7,2007
271,1.238232E7,2007
3867,7.917954855E7,2007
19187,4.50247242E7,2007
515,5.220734324999999E7,2007
26103,6.90528913E7,2007
39109,1.111985668E8,2007
545,1.437890371E8,2007
1745,1.7661475E7,2007
31141,2.07876021E7,2007
4957,5.685307600500001E8,2007
4295,6.169492279E8,2007
2941,2642750.0,2007
54103,3.698358745E7,2007
37101,4.035712726E8,2007
20109,4752225.0,2007
2431,1.7470161558999994E9,2007
21209,7.92227155E7,2007
253,2.2954476260000002E8,2007
2775,4473535.0,2007
399,1.1925076564999999E8,2007
4099,2.381252355E7,2007
31129,3405876.3,2007
13169,6.3198391442E9,2007
48379,1.89200842E7,2007
3215,7981308.4,2007
115,1.689171028E9,2007
2421,8.142460313499997E8,2007
5161,1.6998627325E8,2007
1897,2.9960169023000007E9,2007
1639,2.436E7,2007
1627,2.086791713E8,2007
2083,1491250.0,2007
3528,2.5853818400000002E7,2007
1857,4.275358215000001E8,2007
1637,1472250.0,2007
4929,1902000.0,2007
17133,2.664059955E7,2007
3119,3.56366671E7,2007
3021,1.0482212E8,2007
3779,9563290.0,2007
1793,4.28417871E7,2007
48255,2.82471571E7,2007
191,3370650.0,2007
5593,1.540212E7,2007
1367,9.044461537699997E9,2007
1729,6.016933855E7,2007
36117,1.383148155E8,2007
37185,1.43683355E7,2007
19151,1170500.0,2007
48127,7577400.0,2007
4085,7839390.0,2007
4297,1.9370506735E8,2007
2931,1.2980927494999999E8,2007
2759,2.718435355E7,2007
5477,8.22105642E7,2007
3967,2.92630521E7,2007
3197,4131067.0999999996,2007
2039,3740250.0,2007
29223,1.394585355E7,2007
6113,7.504509533900001E9,2007
1787,9394976.95,2007
5591,3172109.2,2007
4535,1.83782027955E9,2007
48367,1.345892355E8,2007
2129,1.1044792355E8,2007
28103,1.251145E7,2007
2515,2.5103960615000004E8,2007
13243,1.224225E7,2007
21221,6328625.0,2007
51107,8.731153702500001E8,2007
29221,3.4713335650000006E7,2007
669,6.990541569999999E7,2007
1833,4.121519355E7,2007
519,3.05242047E7,2007
4793,3.273724139950001E9,2007
26143,6.873744325E7,2007
2929,6.825659905E7,2007
4575,1.34011513985E9,2007
