state_abr,opioid_factor,year
in,2.492744948614999E10,2010
ia,6.406720476000001E9,2010
az,2.8957746075421017E10,2010
id,5.716572120000001E9,2010
ct,6.524520639949999E9,2010
pr,1.6282175148499997E9,2010
nj,7.353183303295001E10,2010
nm,9.516993191467E9,2010
tx,1.8959208269895004E11,2010
la,2.615283028742499E10,2010
nc,1.1629801231156503E11,2010
nd,9.417887369899998E9,2010
ne,3.53571028045E9,2010
tn,4.401181302467498E10,2010
ny,3.72154044726E10,2010
pa,5.680732138790001E10,2010
ak,1.6715354075E9,2010
nv,1.3494001995600004E10,2010
nh,3.7118268596999993E9,2010
wa,1.0866237602784999E11,2010
de,3.0265209908499994E9,2010
dc,7.509805989999998E8,2010
wi,1.4298748896300003E10,2010
wv,8.421362870735005E10,2010
hi,2.91817407695E9,2010
ma,1.1879843216299997E10,2010
fl,6.936866906520502E11,2010
wy,1.42412463273E9,2010
me,4.504661995849999E9,2010
md,1.9284647068600002E10,2010
ok,1.8688424451199997E10,2010
oh,4.72547547206E10,2010
ut,9.173925614310001E9,2010
mo,2.904581679292499E10,2010
mn,9.45450853795E9,2010
mi,4.30253433482E10,2010
ri,2.4166956129999995E9,2010
ks,2.612854932644999E10,2010
mt,3.856476013049999E9,2010
mp,5125368.4,2010
ms,2.029876600155E10,2010
sc,1.738252797744E11,2010
ky,1.3112775035240002E11,2010
or,2.2929698976050007E10,2010
sd,1.2867324437499998E9,2010
va,2.3916106524799988E10,2011
gu,1.978981775E7,2011
co,1.296431542479229E10,2011
vi,6.366068855E7,2011
ca,7.561709971464005E11,2011
al,2.3435010659500004E10,2011
ar,1.4451862422812502E10,2011
vt,1.6909803308500001E9,2011
il,4.3638155424512505E10,2011
ga,3.417667279996397E11,2011
in,2.1884768538812492E10,2011
ia,5.996541193499999E9,2011
az,3.1346400963499973E10,2011
id,4.3806697658E9,2011
ct,7.36768713772E9,2011
pr,1.5828754858499997E9,2011
nj,9.626421425100003E10,2011
nm,8.6194423499078E9,2011
tx,1.4850037786080005E11,2011
la,3.10320566301E10,2011
nc,1.2786425968295003E11,2011
nd,7.959208787200002E9,2011
ne,3.2752210344000006E9,2011
tn,5.968101923927499E10,2011
ny,5.826154801795001E10,2011
pa,7.408348380280003E10,2011
ak,1.36612492705E9,2011
nv,1.7665716838949997E10,2011
nh,3.7252687276499996E9,2011
wa,2.292591412025E10,2011
de,3.3525016512999997E9,2011
dc,1.0463906541999998E9,2011
wi,5.241463717775004E10,2011
wv,9.657457991050001E9,2011
hi,4.999162794965001E10,2011
ma,1.2355702288399998E10,2011
fl,3.592998423329999E11,2011
wy,1.5527432756499999E9,2011
me,4.3203108162E9,2011
md,1.731009001525E10,2011
ok,1.5676135629699997E10,2011
oh,4.4025675774E10,2011
ut,9.141053732300005E9,2011
mo,4.90938450688E10,2011
mn,1.1728509801549995E10,2011
mi,1.1533935998675E11,2011
ri,2.732553558299999E9,2011
ks,6.085125744495009E10,2011
mt,4.0320350001499996E9,2011
mp,8033185.0,2011
ms,2.2883949795774994E10,2011
sc,1.7683725164140002E11,2011
ky,6.162767181270001E10,2011
or,1.609722257675E10,2011
sd,2.2128408605E9,2011
va,4.576720326499999E10,2012
gu,1.712972035E7,2012
co,1.4435352426889994E10,2012
vi,6.086782855E7,2012
ca,9.499604713815505E11,2012
al,1.2969898016475E11,2012
ar,1.2137821982099997E10,2012
vt,1.76328645375E9,2012
il,4.116153991347504E10,2012
ga,3.024173917019999E11,2012
in,2.0082840101549988E10,2012
ia,5.3095032351E9,2012
az,3.052803008118999E10,2012
id,5.306073023950001E9,2012
ct,7.046101823149998E9,2012
pr,8.5802317605E8,2012
nj,3.739360334625E10,2012
nm,9.054878069199997E9,2012
tx,8.23948781131E10,2012
la,2.0187087882449993E10,2012
nc,1.163975931488E11,2012
nd,8.365269957549999E9,2012
ne,4.0543081114500012E9,2012
tn,4.828274016794998E10,2012
ny,4.352067557365001E10,2012
pa,7.638243899784999E10,2012
ak,1.5049984661999996E9,2012
nv,4.111487058919999E10,2012
nh,3.79557719375E9,2012
wa,2.686989999019999E10,2012
de,5.510911691049999E9,2012
dc,1.3077225214499998E9,2012
wi,6.169586817509999E10,2012
wv,1.527953815845E10,2012
hi,5.356743294509998E10,2012
ma,1.2163470994949997E10,2012
fl,1.5908583840443002E11,2012
wy,2.0252184906E9,2012
me,4.341520258075E9,2012
md,4.247445454965E10,2012
ok,1.1958061438150003E10,2012
oh,4.3750429546600006E10,2012
ut,1.0284093525950005E10,2012
mo,7.164825243565001E10,2012
mn,8.423346556100001E9,2012
mi,3.3688714329250008E10,2012
ri,3.333664431749999E9,2012
ks,1.84366838531E10,2012
mt,3.5395475101000013E9,2012
mp,5790000.0,2012
ms,2.2817668999899994E10,2012
sc,2.0242048638475006E11,2012
ky,2.1764096765099987E10,2012
or,1.7285010543349995E10,2012
sd,1.9295682329999998E9,2012
