state_abr,fips,county,square_km,lat,lng
NE,3131,Cherry,"15.564,10",42.566985,-101.072622
NE,3191,Hooker,"1.868,58",41.9187,-101.11681
NE,31135,Perkins,"2.290,67",40.856065,-101.636443
NE,31101,Keith,"2.874,20",41.194404,-101.644474
NE,3157,Dundy,"2.385,00",40.180165,-101.681133
NE,3129,Chase,"2.324,51",40.53039,-101.694192
NE,315,Arthur,"1.860,41",41.570856,-101.697045
NE,3175,Grant,"2.028,54",41.915867,-101.756875
NE,3169,Garden,"4.482,95",41.659381,-102.328229
NE,3149,Deuel,"1.141,44",41.112988,-102.332604
NE,31161,Sheridan,"6.396,75",42.507074,-102.389698
NE,31123,Morrill,"3.703,32",41.732205,-102.990599
NE,3133,Cheyenne,"3.098,66",41.214236,-103.011929
NE,3113,Box Butte,"2.791,58",42.215665,-103.087821
NE,3145,Dawes,"3.628,75",42.711214,-103.134872
NE,31157,Scotts Bluff,"1.930,48",41.851589,-103.70586
NE,31105,Kimball,"2.466,72",41.199155,-103.711105
NE,317,Banner,"1.932,82",41.53975,-103.726263
NE,31165,Sioux,"5.354,71",42.483806,-103.742605
NH,3317,Strafford,"994,559",43.293177,-71.035927
NH,3315,Rockingham,"2.059,33",42.98936,-71.099437
NH,333,Carroll,"2.570,39",43.867567,-71.201665
NH,337,Coos,"4.738,99",44.652419,-71.289383
NH,331,Belknap,"1.213,62",43.519109,-71.425366
NH,3313,Merrimack,"2.477,19",43.299485,-71.68013
NH,3311,Hillsborough,"2.310,83",42.911643,-71.723101
NH,339,Grafton,"4.531,30",43.926488,-71.842264
NH,3319,Sullivan,"1.429,66",43.361188,-72.222084
NH,335,Cheshire,"1.888,36",42.925455,-72.248217
NJ,343,Bergen,"638,875",40.95909,-74.074522
NJ,3417,Hudson,"161,39",40.731384,-74.078627
NJ,3425,Monmouth,"1.723,17",40.287056,-74.152446
NJ,3413,Essex,"335,742",40.787217,-74.246136
NJ,3429,Ocean,"2.370,88",39.86585,-74.263027
NJ,3431,Passaic,"510,5",41.033763,-74.300308
NJ,3439,Union,"272,988",40.659871,-74.308696
NJ,3423,Middlesex,"836,118",40.439593,-74.407585
NJ,3427,Morris,"1.247,40",40.858581,-74.547427
NJ,3435,Somerset,"789,576",40.565522,-74.61993
NJ,341,Atlantic,"1.740,02",39.469354,-74.633758
NJ,345,Burlington,"2.123,37",39.875786,-74.663006
NJ,3437,Sussex,"1.387,57",41.137424,-74.691855
NJ,3421,Mercer,"592,819",40.282503,-74.703724
NJ,349,Cape May,"1.606,87",39.086143,-74.847716
NJ,3419,Hunterdon,"1.132,96",40.565283,-74.91197
NJ,347,Camden,"588,685",39.802352,-74.961251
NJ,3441,Warren,"939,796",40.853524,-75.009542
NJ,3411,Cumberland,"1.755,03",39.328387,-75.121644
NJ,3415,Gloucester,"873,286",39.721019,-75.143708
NJ,3433,Salem,"964,327",39.573828,-75.357356
NM,359,Curry,"3.646,58",34.572984,-103.346055
NM,3525,Lea,"11.380,93",32.795687,-103.413271
NM,3559,Union,"9.921,92",36.488085,-103.475723
NM,3541,Roosevelt,"6.357,52",34.021457,-103.482725
NM,3537,Quay,"7.463,27",35.107018,-103.548071
NM,3521,Harding,"5.506,02",35.863152,-103.829931
NM,3515,Eddy,"10.871,53",32.457858,-104.306471
NM,3511,De Baca,"6.044,73",34.351429,-104.401527
NM,355,Chaves,"15.734,50",33.361605,-104.469837
