State,State_Abr,Opioid_Factor,Crime_Percent,Homeless_Percent,Average_Income,Unemployment_Percent,Population,Year,z_score_AvgInc,z_score_Unem,z_score_Crime,z_score_Homeless,z_score_opioid,prediction
Tennessee,TN,42000000000,4.83,0.18,50013,5.2,6175727,2007,-0.9164052046204264,-0.8959098070535012,1.8750484851451812,0.03102155213423431,-0.05274818167765528,0
New York,NY,37300000000,2.41,0.33,59421,5.0,19132335,2007,0.1179512292872435,-0.9755226453580185,-1.030700319959411,1.6173509226348322,-0.44870247053184475,2
Pennsylvania,PA,34500000000,2.75,0.13,58805,5.0,12563937,2007,0.050225510400431786,-0.9755226453580185,-0.6224546200686832,-0.4977549046992981,-0.3837029433661001,3
Alaska,AK,1180000000,3.96,0.24,76477,7.1,680300,2007,1.9931620431402641,-0.13958784316058806,0.8304197824836128,0.6655533003344734,-0.4662546946158954,2
Nevada,NV,11200000000,4.47,0.33,65629,4.9,2601072,2007,0.8004857468997876,-1.015329064510277,1.4427883323197044,1.6173509226348322,-0.25638006490059306,2
New Hampshire,NH,3560000000,2.03,0.17,82041,4.3,1312540,2007,2.604892400098414,-1.2541675794238287,-1.4869749257196365,-0.07473373923247201,-0.38644994033079,3
Washington,WA,19100000000,4.38,0.36,70512,5.4,6461587,2007,1.3373440022963812,-0.8162969687489839,1.3347232941133353,1.9346167967349515,-0.3665649014632496,2
Delaware,DE,2620000000,4.03,0.12,66274,3.8,871749,2007,0.8713998519030238,-1.4531996751851217,0.9144703677552336,-0.6035101960660048,-0.3625229489432606,3
Wisconsin,WI,7430000000,3.07,0.1,62253,5.5,5610775,2007,0.42931362520842986,-0.7764905495967255,-0.23822337311270428,-0.8150207787994177,-0.49974232859699735,3
West Virginia,WV,7440000000,2.77,0.13,51101,5.1,1834052,2007,-0.7967857530800836,-0.93571622620576,-0.5984401671339346,-0.4977549046992981,-0.27672979665542735,3
Hawaii,HI,2970000000,4.39,0.46,77726,2.3,1315675,2007,2.1304825348442056,-2.0502959624690007,1.3467305205807094,2.992169710402017,-0.4235786681714294,2
Massachusetts,MA,13200000000,2.83,0.24,70977,5.5,6431559,2007,1.3884681245080166,-0.7764905495967255,-0.5263968083296884,0.6655533003344734,-0.4403119804994173,3
Florida,FL,192000000000,4.78,0.25,55596,3.7,18367842,2007,-0.30258590503427407,-1.4930060943373802,1.8150123528083097,0.7713085917011799,0.24534413102421937,0
Wyoming,WY,1270000000,3.04,0.1,59178,4.0,534876,2007,0.09123475251858239,-1.3735868368806046,-0.2742450525148271,-0.8150207787994177,-0.41403038871688086,3
Maine,ME,3660000000,2.52,0.2,58146,5.4,1327040,2007,-0.022227815486595685,-0.8162969687489839,-0.8986208288182932,0.24253213486764752,-0.38271834716147124,3
Maryland,MD,17700000000,4.05,0.17,79678,4.1,5653408,2007,2.345093903784232,-1.333780417728346,0.9384848206899818,-0.07473373923247201,-0.35228768790805565,3
